X,Y,OBJECTID,RADICADO,HORA,DIA_NOMBRE,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,EXPEDIENTE,GRAVEDAD,BARRIO,COMUNA,DISENO,MES,DIA,FECHA,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.592351056784,6.2435120526171,1,1783170,08:05:00,MIÉRCOLES,2022,Choque,Circular 2 Con Carrera 74,CQ  002   074  000 00000,1107,Malla vial,A001423465,HERIDO,Bolivariana,Laureles Estadio,Interseccion,03,16,2022/03/16 00:00:00+00,MARZO     ,832338.65,1182399.08,-75.59235106,6.24351205
-75.5798321906379,6.23051416626943,2,1783476,17:30:00,MIÉRCOLES,2022,Choque,Carrera 55 Con Calle 29 C,CR  055   029 C  000 00000,1502,Malla vial,A001423492,MUERTO,Tenche,Guayabal,Interseccion,03,16,2022/03/16 00:00:00+00,MARZO     ,833724.32,1180961.28,-75.57983219,6.23051417
-75.5990014792471,6.26913570485693,3,1789709,17:00:00,MIÉRCOLES,2022,Choque,Calle 54 Con Carrera 83,CL  054   083  000 00000,1301,Malla vial,A001429452,SOLO DAÑOS,El Pesebre,San Javier,Interseccion,05,04,2022/05/04 00:00:00+00,MAYO      ,831602.7,1185233.45,-75.59900148,6.26913571
-75.5739789904952,6.2328820893823,4,1793934,13:30:00,DOMINGO  ,2022,Choque,Carrera 49 Con Calle 31,CR  049   031  000 00000,1012,Malla vial aproximada: CR 48-31,A001433803,HERIDO,Perpetuo Socorro,La Candelaria,Tramo de via,06,12,2022/06/12 00:00:00+00,JUNIO     ,834372.23,1181223.19,-75.57397899,6.23288209
-75.7038158742467,6.22180566397041,5,1791043,06:45:00,MIÉRCOLES,2022,Otro,Carrera 30 Con Calle 8 A,0,Sin inf,No Ubicada,A001430922,HERIDO,,,Lote o Predio,05,18,2022/05/18 00:00:00+00,MAYO      ,820000,1180000,-75.70381587,6.22180566
-75.5528547939177,6.24085563566927,6,1778183,10:10:00,SÁBADO   ,2022,Choque,Calle 49 Con Carrera 30,CL  049   030  000 00000,0906,Malla vial,A001417824,HERIDO,Barrio Caicedo,Buenos Aires,Interseccion,01,29,2022/01/29 00:00:00+00,ENERO     ,836710.49,1182105.18,-75.55285479,6.24085564
-75.5710921189359,6.28368062893699,7,1797256,02:30:00,MIÉRCOLES,2022,Choque,Carrera 64 C Con Calle 89,CR  064 C   089  000 00000,0512,Malla vial,A001487878,SOLO DAÑOS,Alfonso López,Castilla,Tramo de via,07,13,2022/07/13 00:00:00+00,JULIO     ,834691.85,1186842.2,-75.57109212,6.28368063
-75.5845551059157,6.28641811521735,8,1778709,07:00:00,VIERNES  ,2022,Atropello,Carrera 80 Con Calle 81 A,CR  080   081 A  000 00000,0607,Malla vial,A001418407,HERIDO,Kennedy,Doce de Octubre,Tramo de via,02,04,2022/02/04 00:00:00+00,FEBRERO   ,833201.76,1187145.04,-75.58455511,6.28641812
-75.5716747830464,6.26975034060041,9,1777781,08:10:00,MARTES   ,2022,Choque,Carrera 64 Con Calle 72,CR  064   072  000 00000,0517,Malla vial cruce invertido,A001417295,HERIDO,Caribe,Castilla,Tramo de via,01,25,2022/01/25 00:00:00+00,ENERO     ,834627.34,1185301.32,-75.57167478,6.26975034
-75.5789251035252,6.24824960665073,10,1779379,14:24:00,MARTES   ,2022,Atropello,Carrera 61 Con Calle 44 A,CR  061   044 A  000 00000,1008,Malla vial,A001418974,HERIDO,Corazón de Jesús,La Candelaria,Tramo de via,02,08,2022/02/08 00:00:00+00,FEBRERO   ,833824.78,1182923.06,-75.5789251,6.24824961
